Question,Catégorie,Poids_question_sur_10,Niveau_risque_1_a_5,Explication
🎯 Avez-vous réalisé une étude de marché via un professionnel ?,marche_zone,10,,Pas de marché = Pas de chiffre d'affaires. Une mauvaise étude de marché peut facilement impacter votre prévisionnel de CA entre 5 à 20% !
📍 Êtes-vous sur un emplacement nº1 ?,marche_zone,8,,"L'emplacement est primordial pour réaliser votre chiffre d'affaires.  Il y a 3 types d'emplacements : nº1, 1bis ou nº2 (à définir lors de votre étude de marché)"
🅿️ L'emplacement dispose-t-il de places de parking ?,marche_zone,6,,"""No Parking, No Business"", Bernardo Trujilo. En zone piétone la logique est différente."
📢 Le fonds de commerce a-t-il bonne réputation ?,marche_zone,5,,"Bonne réputation = devoir la maintenir et risque de décevoir les clients fidèles. 
Mauvaise réputation = Opportunité d'amélioration mais risque de ne pas attirer les clients.
Vous devez également analyser la réputation numérique du fonds (avis google, commentaires Facebook etc)>"
Connaissez-vous vos avantages concurrentiels ?,marche_zone,7,,"Vous devez maîtriser votre marché, connaître vos concurrents et savoir ce qui vous démarque. "
"Êtes-vous natif de votre marché, de votre zone ?",marche_zone,3,,Cela peut avoir un impact fort sur votre CA (environ 20 à 30% du CA).
Existe-t-il un lien affectif avec la clientèle et le dirigeant et/ou certains salariés ?,marche_zone,3,,"La perte de clientèle lors d'une reprise est normale (environ 15 à 30%, souvent compensée par une nouvelle clientèle) mais elle est d'autant plus importante si un lien fort existe entre le dirigeant/certains salariés et la clientèle."
🚶 Avez-vous analysé la répartition horaire du flux de visiteurs au cours d'une journée ?,marche_zone,2,,"Nous vous conseillons d'observer sur 1 ou 2 jours le flux de visiteurs pour identifier la typologie de clientèle et ses habitudes. Il est important de connaître les pics d'activité et les creux : la page google avec la fréquentation est un bon outil. La fréquentation aura un impact sur votre potentiel de CA. "
Le prix de cession est-il cohérent au regard du chiffre d'affaires et l'état du fond ?,marche_zone,8,,"À noter : il existe plusieurs méthodes d'évaluation : patrimoniale, comparative et de la rentabilité.

- Prix supérieur à 100% du CA = Risque d'avoir des difficultés à couvrir les charges avec la nécessité de faire plus de CA que le cédant. Justifié par un emplacement premium, un fonds bien entretenu et doté d'investissements importants.

- Prix entre 70% et 100% du CA = Dans la moyenne des prix de vente en France voire plus bas depuis 2025 (50% à 60%)

- Prix inférieur à 70% du CA : Risque d'avoir des investissements à prévoir
(Cf. barème Francis Lefebvre)
"
Avez-vous réalisé plusieurs prévisionnels avec des professionnels ?,analyse_financiere,10,,"Pour votre prévisionnel, nous vous conseillons de vous faire accompagner par des professionnels (CMA, CCI, Expert-comptable). Il est préférable d'en réaliser au moins 2 par 2 professionnels différents pour avoir une comparaison."
Avez-vous inclus des marges de sécurité dans votre prévisionnel  ?,analyse_financiere,6,,Il est important de prévoir de la souplesse dans votre prévisionnel car ce dernier pourrait ne pas se réaliser à 100%.
Le prévisionnel vous permet-il de vous verser la rémunération souhaitée sur 5 ans ?,analyse_financiere,7,,"Votre activité doit vous rémunérer, ne cédez pas sur ce point ! Il en va de votre santé mentale, financière, familiale mais également de la revente un jour de votre fonds de commerce."
💳 Le fonds repris dispose-t-il des certificats d'homologation de sa caisse enregistreuse ?,analyse_financiere,1,,"Pour plus d'efficacité nous vous conseillons d'utiliser un système de caisse informatisé. Il doit répondre à la Norme NF525 et aux dispositions de l'article 286 du CGI. L'amende encourue est de 7500 euros pas poste. A cela s'ajoute les frais de remplacement. 
Lors de votre audit, demandez les certificats de conformité. C'est un axe de négociation."
